name,neighbourhood,latitude,longitude,number_of_reviews
Two blocks from Wrigley Field and the Metro.,Lake View,41.94875,-87.66034,110
Beautiful Studio in the Loop. Amazing Location!,Loop,41.88272,-87.62468,172
"Lovely,large 1BR flat in hot Logan Square",Logan Square,41.92852,-87.71819,174
"Large & Cozy, 1BR Lincoln Park Condo. Great Value!",Lincoln Park,41.92255,-87.66557,56
The Yogi Pad,Logan Square,41.918279999999996,-87.6933,130
1880's Victorian Greystone (Private Skyline View),Oakland,41.82483,-87.60417,4
North Side Near Wrigley Lakeview Walk Everywhere!!,Lake View,41.94448,-87.66447,56
Bright Modern top floor balcony apt,Edgewater,41.98538,-87.6702,18
Totally Renovated Vintage Wrigleyville 2 Bedroom,Lake View,41.94124,-87.65954,133
Room in Logan Square,Avondale,41.93436,-87.71231999999999,44
Ukrainian Village Apartment,West Town,41.89521,-87.67874,35
RIVER NORTH  MODERN POOL/SPA DOWNTOWN,Near West Side,41.88816,-87.64114000000001,1
Spacious private room/bath in modern home,West Town,41.894740000000006,-87.65988,67
MODERN 2 BEDROOM 2 BATH GREAT LOCATION RIVERNORTH,Near North Side,41.89695,-87.63258,1
Noble Square Modern Skyline View Penthouse,West Town,41.89954,-87.66735,115
Wrigley Field 5 min walk | Designer | Loft,Lake View,41.94958,-87.66469000000001,28
Windy City Piggy - A One of a Kind Stay,Lake View,41.93667,-87.65938,29
Cute Vintage Inspired Northside Apartment,Lake View,41.956920000000004,-87.67079,56
"SOUTH LOOP 2 bedroom 2 BATHS |TARGET, GYM",Loop,41.869170000000004,-87.63291,2
Luxury Single-Family Home Near Wrigley Field,North Center,41.94465,-87.68397,1
"Outdoor patio! | Steps from Shops, Train, Grocery",West Town,41.90291,-87.66624,34
Private suite near train.,Albany Park,41.965379999999996,-87.70073000000001,6
Modern Condo with roofdeck where East meets West!,West Town,41.89463,-87.65943,70
Beautiful 2bdrm condo in Lakeview,Lake View,41.9388,-87.65366999999999,7
ORLEANS STREET HIGH-END EXECUTIVE 1 BED w/POOL,Near North Side,41.90011,-87.63773,0
1219 Superhost Private Rm2 in Safe upscale Hyde Pk,Kenwood,41.803020000000004,-87.59653,56
Wrigleyville townhome two blocks from ballpark,Lake View,41.95156,-87.65735,28
像你的家,Avondale,41.93457,-87.73141,14
Charming & Modern Urban Apartment,Greater Grand Crossing,41.76532,-87.6311,5
Cubs-Sox special in Vintage Lakeview Coachhouse,Lake View,41.938990000000004,-87.66435,22
Really nice 2-bedroom Suite with free parking,Hyde Park,41.79074,-87.59575,119
Beautiful Large Condo in Lakeview Near Wrigley,Lake View,41.93603,-87.64279,1
Beautiful Three Bedroom Apartment near Loyola,Rogers Park,42.000040000000006,-87.66206,103
让你有如同回家的感觉,Avondale,41.93574,-87.73037,10
Classic Chicago Flat on Addison,North Center,41.94898,-87.67811999999999,48
Quiet condo space near great nightlife,West Town,41.90014,-87.68489,3
Cosi 1br in Lincoln Park Chicago,Lincoln Park,41.923840000000006,-87.64725,0
18th Street Get Away,North Lawndale,41.856809999999996,-87.69275,71
"Luxury 2 beds, 2 bath Condo in Boystown Lakeview 3",Lake View,41.94088,-87.64742,242
Cheery Vintage Rehab with Huge Windows,Edgewater,41.988609999999994,-87.66871,51
A Sunny 3BR Near DePaul/Transit - 10 Min to DT! Ⓜ️,Lincoln Park,41.91731,-87.6522,19
Wrigleyville Mansion - Sleeps 16+,Lake View,41.95112,-87.6702,16
Spacious & Colorful Artistic Duplex,West Town,41.89728,-87.6881,115
One BedRoom in Downtown with Super responsive host,Near West Side,41.88069,-87.64118,215
11 BEDROOMS 6 Bts Graystone UIC Little Italy Loop,Near West Side,41.87285,-87.66521999999999,2
High End Wrigleyville Condo - 1/4 block to Stadium,Lake View,41.95025,-87.65782,1
"Close, Cozy and Creative,  West Town",West Town,41.89459,-87.66471999999999,81
The Sleeping Study: Airbnb Superhost,Grand Boulevard,41.81442,-87.61125,69
Princes Palace,South Shore,41.77023,-87.57065,28
Historic Home near Lake Michigan,Oakland,41.818090000000005,-87.5996,76
Through The Wire Urban Oasis w/ garage parking,Humboldt Park,41.89689,-87.7189,50
Well Lit Lakeview Condo with Balcony,Lake View,41.938390000000005,-87.64711,6
Blues Brothers - Express | South Loop,Near South Side,41.86646,-87.62714,118
"Private Room close to Wrigley, Boystown steps away",Lake View,41.94316,-87.65164,9
Cozy Prohibition Era Apartment,Lincoln Square,41.975840000000005,-87.67617,28
"Lovely Peaceful Oasis
Avondale/Logan Sq
2BR 1 Bath",Avondale,41.93651,-87.72409,70
Luxury Condo with Views of Downtown and Lake Michigan,Near North Side,41.89307,-87.61941,10
Entire 4br Apt! McCormick/Chinatown/South Loop,Armour Square,41.846000000000004,-87.63277,61
Cozy-Chic Lincoln Park Studio,Lincoln Park,41.93046,-87.65241,15
Antique Filled Penthouse w/ Views,Lincoln Park,41.931290000000004,-87.65678,0
"Bright, Modern Apartment in a Vintage Greystone",West Town,41.89686,-87.67671,114
Quiet Bungalow in the Big City,Hermosa,41.93489,-87.73316,58
Bingham 2/2,Logan Square,41.91899,-87.69204,48
3 bedroom apt just 10 blocks from Wrigley,Lake View,41.949259999999995,-87.6701,40
Chic and Charming Vintage Condominium in Lincoln Park,Lincoln Park,41.92092,-87.66547,87
Suite in Comfortable Chicago Home,North Center,41.93969,-87.68456,50
Sophisticated 1BR in Wicker Park by Sonder,West Town,41.90505,-87.67656,31
Bright 2BR in Bucktown by Sonder,West Town,41.91335,-87.67618,10
Charming 2BR in Wicker Park by Sonder,West Town,41.90583,-87.67803,37
Feel At Home in this Logan Square Abode,Logan Square,41.92159,-87.69694,32
Comfy house in the northwest.,Belmont Cragin,41.93721,-87.77854,16
Cozy Apartment,Near North Side,41.89005,-87.61929,133
Fun Downtown 4 Bed Hideaway! Deck + Skyline Views!,Near North Side,41.90999,-87.64262,17
Minutes from Midway Airport #1,West Lawn,41.75412,-87.73056,25
Cheerful & Bright Apt In Downtown Chicago,Near North Side,41.90129,-87.63669,154
Parisian inspired flat in the HEART of Chicago.,West Town,41.89578,-87.69304,4
"Best Location, Southport Corridor",Lake View,41.94682,-87.66673,122
Hidden Oasis 5 star Rated in Prime Location,Lincoln Park,41.91592,-87.65656,2
"Sunny, spacious and cute.",West Ridge,41.989020000000004,-87.69126999999999,2
Colorful 1BR in the South Loop by Sonder,Loop,41.868179999999995,-87.62661999999999,32
Bright 1BR in the South Loop by Sonder,Loop,41.8682,-87.62725999999999,36
Lakeview Outlook,Lake View,41.94108,-87.65151999999999,9
Delightful 1BR in South Loop by Sonder,Loop,41.86873,-87.62739,29
Airy Studio in South Loop by Sonder,Loop,41.86834,-87.62576,42
Sunny Lincoln Park Condo on Tree Lined Street,Lincoln Park,41.92001,-87.65364,17
Intimate Studio in the South Loop by Sonder,Loop,41.86845,-87.62524,47
"3 Rooms Great 4 couples,families, groups, retreats",Portage Park,41.93889,-87.75538,10
Comfy Wrigleyville Walk Up 06/17-07/18 Sublet,Lake View,41.945840000000004,-87.66308000000001,1
COZY SINGLE in Shared Room #4,West Town,41.90704,-87.69003000000001,71
Short stay-Warm and Cozy room in Beautiful Condo,Rogers Park,42.02105,-87.67299999999999,61
Hotel Perks - Private Bedroom | Private Bathroom,Near North Side,41.89124,-87.62655,15
Edgewater Quietude - Combined 2 Bedrooms,Edgewater,41.9893,-87.66224,49
SUNNY ROOM 5 MIN TO DOWNTOWN WITH FREE PARKING,Near West Side,41.871390000000005,-87.65813,187
Sunny 3br/2bath apt in lovely area-walk to Wrigley,North Center,41.94932,-87.67501,69
Basement room near Midway Airport,Archer Heights,41.80194,-87.72043000000001,339
Condo in Wrigleyville. 2 bedroom with deck.,Lake View,41.93595,-87.65700000000001,18
Quick walk to Wrigley-steps to CTA. 1bd-sleeps 4!,North Center,41.95697,-87.67728000000001,9
Roomy 2BR in the Center of Chicago. The Loop 402,Near North Side,41.8939,-87.62986,198
Cozy Wrigley-Adjacent Room,Uptown,41.96047,-87.65641,96
Augusta's Secret Garden | Noble Square|Wicker Park,West Town,41.90063,-87.66315999999999,128
PERFECT LOCATION - 2 BEDROOM LUXURY HOME | 2 BATHS,Near North Side,41.898790000000005,-87.63144,2
Oasis in the City- walking distance to McCormick,Armour Square,41.84867,-87.63476,79
Perfect spot for Cubs and Boystown,Lake View,41.94368,-87.64587,66
Tropical Bungalow Getaway in Quiet Neighborhood,Portage Park,41.95655,-87.75418,23
>> Cozy Apartment awaits You,Irving Park,41.959070000000004,-87.71066,67
Rent entire floor of beautiful Condo!,Lake View,41.95264,-87.66615999999999,7
Lux 4 Bedroom 3.5 Bath Home in Chicago w/ Parking,Irving Park,41.95964,-87.71271,122
Family Friendly Triplex a Short Walk from Wrigley,Lake View,41.9442,-87.66232,29
1 BR/1 BA - 3 blocks from Wrigley,Lake View,41.94408,-87.65216,23
"Newly Renovated Condo, Steps to Wrigley Field",Lake View,41.94999,-87.65799999999999,3
"Big, Home-y Logan Square 2br!",Logan Square,41.92122,-87.71332,17
Great neighborhood apartment in Logan Square,Logan Square,41.92713,-87.71786999999999,72
Cozy Little Room in West Town,West Town,41.89774,-87.69099,14
Up & down duplexes 5 bedrooms close to everything,West Town,41.898309999999995,-87.7019,29
Modernized Apartment in Historic Victorian 3Flat,Edgewater,41.9832,-87.67002,49
"Bright, Spacious Private Rm Blocks from Wrigley!",Lake View,41.9523,-87.65562,38
Charming 1-BDRM Apt Close to Wicker Park,West Town,41.89745,-87.66439,9
"Cute place, convenient to everything in the city!",Albany Park,41.96736,-87.71939,106
Charming 1 Bedroom in Lakeview,Lake View,41.952870000000004,-87.65395,75
Wrigleyville/Boystown/Entire Private Floor!,Lake View,41.95187,-87.65159,77
"Comfortable, quiet private bedroom & bathroom",West Ridge,41.99896,-87.68935,64
"Boulevard Place @ the ""606""",Logan Square,41.91539,-87.70241,32
BEST Lake & City Views!,Lincoln Park,41.92629,-87.63773,12
Spacious 2 bed/2 bath in Logan Square,Logan Square,41.92705,-87.71256,51
The Chateau Le SuperDave,Logan Square,41.92225,-87.68885,27
Family home steps from Wrigley Field,Lake View,41.944179999999996,-87.6561,3
Modern Room in the Heart of Loop,Loop,41.874179999999996,-87.6299,156
River North bedroom close to everything,Near North Side,41.89584,-87.63861999999999,30
Vintage Fairytale Gingerbread Tudor House,Forest Glen,41.98986,-87.74264000000001,34
Small Sleeper sofa in eclectic living room.,Logan Square,41.92131,-87.69839,60
"Hot Logan Square by Blueline Train,bars,restaurant",Logan Square,41.926359999999995,-87.71459,0
large vintage inspired room in the heart of Logan,Logan Square,41.929120000000005,-87.70694,145
Fantastic Space for 6! Homey&Bright Walk to Train,Logan Square,41.91538,-87.6945,116
Uptown private queen bed & bath steps to transit,Uptown,41.96993,-87.65634,57
中唐【302】Chinatown,Armour Square,41.847609999999996,-87.63161,101
Artist Loft Steps to Bars & Blue Line (LOUD),Logan Square,41.92413,-87.69913000000001,67
Can't beat this 2min walk to Wrigley!,Lake View,41.94979,-87.65323000000001,12
Lincoln Park - Vintage Master Bedroom,Lincoln Park,41.91754,-87.64043000000001,57
PREMIUM EXCLUSIVE 2 BEDROOM 2 BATH POOL HOT-TUB,Loop,41.87246,-87.63056,1
PRIVATE STUDIO APT w/KITCHEN! NEAR LAKE & GOLF!,South Shore,41.76535,-87.56775999999999,21
Vacation in an amazing Lincoln Park home,Lincoln Park,41.91388,-87.65423,63
"Spacious 2BR, 1.5 bath with back balcony",West Ridge,41.99156,-87.69315999999999,12
Super Cozy & Private Room - Avondale/Logan Sq.,Avondale,41.938520000000004,-87.71557,10
Private Coach House,Lower West Side,41.857459999999996,-87.65401999999999,91
"Garden Apartment, close to ""L"" and Wrigley",North Center,41.95022,-87.67865,111
"Beautiful condo, Old Town/Lncn Park",Lincoln Park,41.91145,-87.64904,11
"Wrigleyville- Corporate, Business, Traveling Nurse",Lake View,41.95075,-87.65163000000001,2
"Luxury Condo, close to everything!",Near South Side,41.86528,-87.62446,62
2 BR Modern Condo in Lincoln Park,Lincoln Park,41.931290000000004,-87.6523,7
Beautiful apartment in tri-taylor w/private bath..,Near West Side,41.868840000000006,-87.68682,24
Wrigley Field Walk up Condo on one way,Lake View,41.953070000000004,-87.65605,5
Private Room - Memorable Andersonville,Uptown,41.97498,-87.66563000000001,39
Modern Comfy Andersonville Getaway!,Uptown,41.97352,-87.66705999999999,21
Spacious 1 Bedroom/Bath entire place near Downtwn,Lincoln Park,41.92245,-87.64601,12
Spacious 3 beds / 2 baths in Lincoln Park 5 Stars,Lincoln Park,41.92232,-87.64575,66
DOWNTOWN!  5 BEDS / 2BATHS / SLEEPS 10!!!,Near North Side,41.89843,-87.63818,78
Spacious Downtown Loop Studio - Sleeps 3,Loop,41.88599,-87.6248,1
Heart-Warming - North Center Condo,North Center,41.95601,-87.67985,2
DOWNTOWN!  5 BEDS / 2BATHS / SLEEPS 10! Suite 2/3,Near North Side,41.897940000000006,-87.63806,75
DOWNTOWN! 7BED/2BATH! PRIVATE ROOFTOP! Sleeps 14!!,Near North Side,41.8998,-87.63823000000001,94
Downtown Living - Entire Building - Sleeps 34!!,Near North Side,41.89951,-87.63837,18
Wrigleyville Posh XXL Room & Bath on PRIVATE Floor,Lake View,41.94597,-87.65476,119
"Gorgeous, cozy 1-bedroom Suite in Andersonville",Edgewater,41.981390000000005,-87.6707,115
Secluded Guest Suite in Decadent Residence,Lake View,41.94239,-87.66705,19
Lincoln Park! Walk Beach/Zoo!  Free Parking!  OBO,Lincoln Park,41.92017,-87.64218000000001,23
"3 miles to Wrigley, private, cozy, easy access",Irving Park,41.95019,-87.71645,21
Hotel Perks - Private Bedroom | Private Bathroom,Near North Side,41.89345,-87.62711999999999,6
2 Bed South Hoteling Room - Shared House,Lake View,41.94193,-87.66597,21
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.891529999999996,-87.6279,7
NEW ❤️ OF WEST WRIGLEYVILLE/ OLD ST. BEN'S,North Center,41.948029999999996,-87.68418,25
Best Location in Old Town- 1 Bedroom,Near North Side,41.903209999999994,-87.63434000000001,6
Entire 1 bedroom apartment in Lakeview/Wrigley,Lake View,41.937709999999996,-87.64263000000001,20
Super Cozy Bed/Bath in Awesome Andersonville Home!,Edgewater,41.98858,-87.67130999999999,149
Comfy & Hip Private Room in Logan,Logan Square,41.92481,-87.71358000000001,121
Cozy place Perfect location sleeps4,Lower West Side,41.85873,-87.66230999999999,109
Apartment 4 blocks from Wrigley,Lake View,41.94267,-87.66141999999999,5
"COMPLETELY REMODELED, BEAUTIFUL LAKE VIEW FLAT!",Lake View,41.94518,-87.66086999999999,44
"Modern 1 BR, walk to Wrigley Field",Uptown,41.971920000000004,-87.65089,2
Welcoming 2BR in Chicago's Best Neighborhood!,West Town,41.89738,-87.6779,110
3rd floor apt. close to Wrigley field,Uptown,41.9683,-87.65659000000001,15
Quintessential Condo ★ Best kept secret location!!,Lake View,41.94771,-87.64395999999999,19
3 Bed 2 Bath Condo with Parking!,West Town,41.91321,-87.6905,0
Large 4BR Townhouse Perfect For Your Group Visit!!,Near West Side,41.88286,-87.67758,91
Spacious and Kid-friendly 2-bed in Logan Square,Avondale,41.93377,-87.70430999999999,4
Vibrant 1 Bedroom near WRIGLEY & Montrose Beach,Uptown,41.96218,-87.65972,12
"1-bedroom apt. in Lakeview, close to Wrigley",Lake View,41.93588,-87.65128,5
Great 1Br Apt 5 Min Walk to Wrigleyville/Southport,Lake View,41.94605,-87.66094,107
Cozy Family Friendly  Home in Chicago (Galewood),Austin,41.91183,-87.78889000000001,16
中唐【305】Chinatown,Armour Square,41.84993,-87.63133,105
Edgewater Quietude - The Emerald Room,Edgewater,41.989020000000004,-87.66404,37
Edgewater Condo,Uptown,41.969879999999996,-87.65175,15
Edgewater Quietude - The Perkins Gilman Room,Edgewater,41.98995,-87.66368,28
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89137,-87.62693,13
Walk to Wrigley Field near a Room in Lakeview / Southport Townhouse,Lake View,41.94361,-87.66224,44
Gorgeous Condo in Rogers Park - close to Red Line!,Rogers Park,42.01036,-87.67156,0
Wrigley Oasis - Steps from the Field! 3BR/1BA,Lake View,41.9448,-87.66038,83
☺Fantastic 5-Star Home in Chicago's Trendiest Area,West Town,41.91117,-87.69377,112
Cozy Logan Square one-bedroom hide away,Logan Square,41.93085,-87.7123,35
Right on the lake! Coastal vibes & panoramic views,Rogers Park,42.021029999999996,-87.66424,120
Sunny Ukrainian Village / Wicker Park Grey Stone,West Town,41.89776,-87.67933000000001,18
On the lake w/ massive outdoor deck & huge views!,Rogers Park,42.02175,-87.66627,107
Cozy  and charming home in Beverly,Beverly,41.70089,-87.67344,21
"Huge, Historic and Gorgeously-gutted Greystone!",Douglas,41.83362,-87.61922,47
Classic Edgewater 3-BR/1-BA (w parking!),Edgewater,41.9882,-87.6609,56
3rd Flr Penthouse by Northeastern Illinois Univ,North Park,41.98301,-87.71478,86
Newly remodeled Smart Condo in Trendy Wicker Park,West Town,41.90334,-87.67393,2
Bright Urban Jungalow in Humbolt Park,Humboldt Park,41.9036,-87.70951,19
See a Game at Wrigley Field from a Sophisticated Condominium,Lake View,41.94598,-87.65011,53
Gorgeous & Quiet Bedroom just One Block to Wrigley,Lake View,41.94787,-87.65176,63
"Private 1BR, Full Bath in Historic Loft Building",Lake View,41.93492,-87.6611,69
Modern Single Family Home in Wicker Park,West Town,41.90358,-87.67182,2
Bright Boho Vibes in Humbolt Park,Humboldt Park,41.90282,-87.70923,7
Lincoln Park! 3BR/2BA Magnificent Roof Top,Lincoln Park,41.91949,-87.64206999999999,10
"Amazing 2-BR Apt in Old Town! Eat,Drink,Beach&Shop",Near North Side,41.9107,-87.64121,18
Safest City Retreat close to USMLE/COMLEX,Norwood Park,41.98251,-87.81926999999999,163
(1EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.7837,-87.60623000000001,23
(2EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.78248,-87.60651999999999,9
(3EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.782790000000006,-87.60621,10
(1EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.78181,-87.59971,39
(2EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,Woodlawn,41.78027,-87.60353,14
Large Serene Artist's One Bedroom in Logan Square,Logan Square,41.92942,-87.71136,15
Enjoyful  Bedroom for Travelers,West Town,41.89634,-87.6629,1
Millennium Park No1 LOCATION LOOP / GYM/ SPA /POOL,Loop,41.88564,-87.6174,0
Large Wicker Park Loft - Walk To Everything!,West Town,41.90959,-87.6863,175
The RAD DONUT PAD!!,South Lawndale,41.85071,-87.70076999999999,148
Fabulous apartment with great amenities.,Uptown,41.9691,-87.65482,93
Private unit close to everything in Chicago!,Near West Side,41.86425,-87.6464,21
"Charming streets, sidewalk cafes, shops and bars",West Town,41.90227,-87.68081,132
"African Safari: Homan Square (4 Queens, 8 Guests)",East Garfield Park,41.87314,-87.71486999999999,102
"Polar Pad: Homan Square (2 Queen, 4 Guests)",East Garfield Park,41.87332,-87.7137,131
"Dragon Den: Homan Square (2 Queen, 4 Guests)",East Garfield Park,41.87191,-87.71525,121
"Second City: Homan Square (6 Queens, 12 Guests)",East Garfield Park,41.87358,-87.71321,104
"Paris Nights: Homan Square (2 Queen, 4 Guests)",East Garfield Park,41.873909999999995,-87.71452,126
"Big Ben: Homan Square (2 Queen, 4 Guests)",East Garfield Park,41.87343,-87.71461,159
"Cosmos: Homan Square (Twin, 1 Guest)",East Garfield Park,41.87363,-87.71468,190
"Basement Suite: Homan Square (6 Queens, 12 Guests)",East Garfield Park,41.87378,-87.71446,117
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89118,-87.62613,8
Cozy & Comfy Logan Square Apartment,Logan Square,41.92718,-87.72145,80
3BR Flat w/Free Street Parking in Humboldt Park,Humboldt Park,41.89873,-87.70326,161
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89332,-87.62807,1
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89274,-87.62754,9
Andersonville Luxury Loft Space,Uptown,41.97437,-87.66395,126
4 BR close to Logan Square with garage parking,Avondale,41.93846,-87.71356999999999,2
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89164,-87.62773,6
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89283,-87.6284,5
"Natural light, quiet neighborhood",West Town,41.89793,-87.67081,4
"Sunny, Family-Friendly Apartment near Wicker Park Subway",West Town,41.89788,-87.66671,81
Wrigley Field - Bright 2BR Apartment,North Center,41.948170000000005,-87.6762,126
Old Town 2BD/1BA Apt on the Park (Renovated 2015),Lincoln Park,41.91413,-87.63502,84
Bright Large Logan Square 3 Bedroom,Logan Square,41.92872,-87.69738000000001,132
Zen Lincoln Park Coach House,Lincoln Park,41.92184,-87.63996,19
Logan Square Luxury,Logan Square,41.92205,-87.70488,18
RARE HOUSE NEAR WICKER,West Town,41.907270000000004,-87.6893,31
"Luxury Loyola 3 Bedroom-2 Bath, Near Beach and El",Rogers Park,42.00166,-87.6653,31
Logan Square Spa,Logan Square,41.9151,-87.70596,4
Stunning Pulse break in the Heart of the City,West Town,41.889140000000005,-87.64596999999999,10
Entire 1st Floor Apt near O'Hare/ORD & Blue Line,Jefferson Park,41.97108,-87.77055,126
Private Apartment in Humboldt Park/Logan Square,West Town,41.91008,-87.70387,73
Modern downtown spacious studio w/ stunning view!,Near North Side,41.892920000000004,-87.61748,12
Cozy Private room,North Park,41.97783,-87.71556,29
Adventurer's Paradise-Shared,Loop,41.88263,-87.62402,21
Brand New Logan Square Private Floor with Laundry!,Avondale,41.93312,-87.70809,18
Trendy 2 bdrm 1 bath 2nd flr Apt off blue line,West Town,41.90967,-87.67981999999999,152
Cozy 2BD/1BA in Little Italy,Near West Side,41.87085,-87.66244,3
Comfy & Hip 2br Apartment in Logan,Logan Square,41.923429999999996,-87.71408000000001,31
Private bed & bath in huge apartment by the lake,Uptown,41.97231,-87.65080999999999,77
Large bedroom in large apartment in Uptown,Uptown,41.97245,-87.65264,100
Private bedroom (Q) in Spacious Modern Condo,Near West Side,41.87404,-87.68853,44
Cozy one bedroom apartment close to OHare/Rosemont,Ohare,41.9727,-87.84363,23
Beautiful Art Deco Apt in  Lake View,Lake View,41.94274,-87.64141,24
W. Wicker Park,West Town,41.90491,-87.69161,16
Cozy Beacon in Chicago,Uptown,41.96792,-87.65644,67
"Charming, spacious cozy 2 bedrooms",West Town,41.90953,-87.69113,93
En-suite near UChicago,Woodlawn,41.781000000000006,-87.59646,64
Amazing 2BR-2BA in the heart of Downtown Chicago,Loop,41.88413,-87.62669,178
Quiet Space to sleep & rest,Humboldt Park,41.91128,-87.70246,36
"Sweet, colorful studio in diverse Old Irving Park",Irving Park,41.960190000000004,-87.72927,81
Urban Worker Cottage,Logan Square,41.92069,-87.71941,5
Super Snug and Cozy Basement Room,South Shore,41.764759999999995,-87.5737,60
2 BR Apartment Near the 606 - Bright and Updated!,Logan Square,41.91588,-87.70487,118
Lofted 2nd Floor Apartment with Spiral Staircase,Logan Square,41.92214,-87.68826,198
New + Bright Apartment in West Town,West Town,41.90486,-87.68915,27
Lincoln Park Avant Artist's Private 1891 Apartment,Lincoln Park,41.93168,-87.64549,108
Central Park Cute and Comfy Private Room,North Lawndale,41.85304,-87.71498000000001,1
Central Park Cozy Queen,North Lawndale,41.85374,-87.71424,0
Modern 2ba/2br + easy trans + 15 walk to McCormick,Douglas,41.84499,-87.62505,157
"1st floor luxury flat, 8 mins from Logan Sq stop",Avondale,41.93442,-87.70554,1
"Bright and spacious, modern 2-bedroom in Edgewater",Edgewater,41.98185,-87.66035,44
LAKESHORE EAST 1 BED MILLENNIUM PARK CLEAN| SPA,Loop,41.88709,-87.61586,3
Andersonville Living,Edgewater,41.98587,-87.66813,171
Charming & Cozy 2Bd Suite Near Lake w/Free Parking,Grand Boulevard,41.8119,-87.61286,53
Sunny and Modern Logan Square Condo!,Logan Square,41.93094,-87.71188000000001,4
Cool and Spacious Bedroom in East Humboldt Park,West Town,41.904720000000005,-87.68961999999999,8
"Dwntwn CHi luxury, walk to Mag Mile, Rush Street",Near North Side,41.90165,-87.6335,124
Alewyfe Inn- Urban Gothic Farmhouse for 7 near CTA,North Lawndale,41.8573,-87.6956,1
Amazing 2 bedroom in Wicker Park,West Town,41.911159999999995,-87.67426,81
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89298,-87.62700000000001,10
"Fully-renovated, modern 1-BR w parking spot!",Lake View,41.94019,-87.66275,88
"Great Studio Apt in Heart of Wrigley, Lakeview!",Lake View,41.94989,-87.65115,235
Historic and Art-filled Two Bedroom Condo Downtown,Near North Side,41.90424,-87.63435,26
"Sunny, 3bd 2.5bth Townhome w/ Private Entrance",Humboldt Park,41.9123,-87.70711,49
Charming 1 Bedroom Near Wrigley Field!,Lake View,41.94597,-87.66303,48
1 Bedroom Apartment Jefferson Park Blue Line,Jefferson Park,41.976859999999995,-87.76505999999999,0
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89132,-87.62804,3
Luxury With Amazing Views In A Modern Building,Near North Side,41.89087,-87.62262,3
"Old Irving Park 2 bd/1 ba, 20 mins to Downtown",Irving Park,41.95061,-87.73584,23
"Colorful, Chill, Well Appointed Wicker Park 2BR",West Town,41.90527,-87.6864,82
Bright & Cheerful Wicker Park 2BR,West Town,41.904109999999996,-87.68554,84
Frida 2720 (2F),North Lawndale,41.85738,-87.69476999999999,121
Skyline Views from a Roof in Hip Wicker Park,West Town,41.911190000000005,-87.679,27
Fully-equipped condo near Medical District,East Garfield Park,41.87127,-87.72006999999999,2
"Cozy ukranian village 2 bed, 3bath",West Town,41.89674,-87.69211,39
Open-Concept 2BR in Wicker Park by Sonder,West Town,41.91042,-87.67681999999999,37
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89198,-87.62635999999999,6
Cozy Room w/ Private Bath in Logan Square/Bucktown,Logan Square,41.91515,-87.68899,25
Magical Logan Square Artist Apartment,Logan Square,41.9227,-87.6918,60
Quiet and clean Wicker Park condo - close to train,West Town,41.908559999999994,-87.68043,22
Winchester Flats,West Town,41.8962,-87.67586999999999,20
Large 2 BR Apt in the Lincoln Park,Lake View,41.933840000000004,-87.64503,12
Traveler's Dream - 1 bed in a shared bedroom,Near North Side,41.89143,-87.62787,17
"Convenient room close to Downtown, Museums, & Sox",Bridgeport,41.84698,-87.64794,242
Logan Square Hot spot - Room!  Casa Particular 1,Avondale,41.934870000000004,-87.7088,29
Stunning Old Town Penthouse with Private Rooftop,Near North Side,41.905,-87.6337,55
Spacious 2Bd 2Bth Condo-Wicker Park near Blue Line,West Town,41.90205,-87.66505,4
Noble Square squat spot,West Town,41.89241,-87.66211,76
"Luxury 2B/2B panoramic views, 5 stars amenities",Near North Side,41.892109999999995,-87.62263,23
IDA'S 2720 (2F ),North Lawndale,41.85657,-87.69344,178
Private Bedroom and Bathroom in Vibrant Pilsen,Lower West Side,41.85653,-87.65558,8
"Luxury Apt | Great Location | Indoor Pool, Hot Tub",Loop,41.871559999999995,-87.63205,0
Right by NU Location w/ Laundry + Pool/Gym,Near North Side,41.89315,-87.6186,0
Bold 2BR in Lake View by Sonder,Lake View,41.93851,-87.66241,25
Bright 3BR in Lake View by Sonder,Lake View,41.93654,-87.66161,27
Stunning 3BR in Lake View by Sonder,Lake View,41.9368,-87.66315,14
Unique 3BR in Lake View by Sonder,Lake View,41.93873,-87.66141,37
Bohemian 2BR in Lake View by Sonder,Lake View,41.93889,-87.66135,19
Cozy Garden Apt in North Center,North Center,41.95661,-87.67801,6
